"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","Les fruits et légumes","","","Le vrac","","","Les fromages","","","Autres produits frais (ex: yahourts, pâtes)","","","Autres produits (boissons, produits ménagers, etc)","","","","","","Si l'épicerie test du Super Cafoutch pouvait ouvrir tous les jours, quel(s) jour(s) choisirais-tu pour y faire tes courses ?","","","","","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le LUNDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le MARDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le MERCREDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le JEUDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le VENDREDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le SAMEDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le DIMANCHE ?","","","","Pourquoi n’as-tu jamais fait de créneau ?","","","","","","","Comment pourrait-on te faciliter la gestion de tes créneaux?","","","","","Si l'épicerie test du Super Cafoutch pouvait ouvrir tous les jours, quel(s) jour(s) choisirais-tu pour y faire ton créneau mensuel de 3h ?","","","","","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le LUNDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le MARDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le MERCREDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le JEUDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le VENDREDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le SAMEDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le DIMANCHE ?","","","","Pourquoi?","","","","","","","Pourquoi ?","","","","","","","","","","Laquelle ou lesquelles?","","","","","","","","","","","","Qu'as-tu pensé de ces récentes animations organisées par le Super Cafoutch ?","","","","","","","","","","",""
"entre 50 et 60 ans","salarié.e à plein temps","une femme","il y a moins de 6 mois","deux fois par mois","bien","bien","pas terrible","pas d'avis","pas d'avis","pas d'avis","pas terrible","bien","pas terrible","bien","bien","pas terrible","très bien","bien","bien","","","non","X","","","","X","","","","","X","","","","","","","","","","","X","","","","","","","","une fois par mois","","","","","","","","","","","","","","","X","","","","","","","","","","","X","X","","","","","","","","","","","","","","oui","","","","","","","oui","","","","","","","obtenir des infos sur le fonctionnement"," mixité sociale, comment se font les achats...","non","non","","","","","","","","","","pas du tout","parrainage, explications...","j’y ai déjà accès","bien","pas d'avis","pas d'avis","pas d'avis","très bien","très bien","pas terrible","très bien","cuisine","non","","plus d'ouverture, de mixité sociale, âge, milieux ... trop ""entre-soi"""
"entre 40 et 50 ans","auto-entrepreneu.r.se","un homme","entre 6 mois et un an","deux fois par mois","pas terrible","pas terrible","bien","pas terrible","très bien","bien","bien","très bien","bien","pas d'avis","bien","pas d'avis","bien","bien","bien","Plus de variété dans les produits frais, quelques produits textiles bien choisis et des produits zero waste (gourde, etc.)","Plus d'ateliers cuisine et sensibilisation alimentation responsable + DIY","oui","","X","X","X","X","X","","","","","","","X","","X","X","","","X","","","X","","X","","","","","une fois par mois","","","","","","","","X","X","X","X","","X","X","","X","X","","","","","X","","","X","","","","","","X","","","X","","","","","","","oui","","","","","","","oui","","","","","","","la possibilité de trouver des infos sur l'avancée du projet et la possibilité de savoir comment m'impliquer + l'apero à la fin","plus de temps participatif pour faire évoluer le projet","oui","oui","","","","X","","","","","stephanecrandal@hotmail.com","un peu","Avoir un parrain qui me guide dans mon parcours : premier créneau + invitation à une réunion de branche + premier forum","j’y ai déjà accès","pas d'avis","très bien","très bien","très bien","très bien","très bien","très bien","très bien","","","",""
"entre 20 et 30 ans","salarié.e à plein temps","une femme","depuis la nuit des temps","une fois tous les deux mois (ou plus)","très bien","bien","pas terrible","bien","bien","bien","pas terrible","bien","bien","mauvais","bien","pas terrible","pas terrible","bien","pas terrible","Tofu","Plus de choix","non","","","","","","X","","","","","","","","","","","","","","","","","X","X","","","","","moins d'une fois par mois","","","","","","","","","X","","X","","","","","","X","X","","","","","","","","","","","","","","","","X","X","X","","","","","oui","","","","","","","oui","","","","","","","","","non","non","","","","","","","","","","pas du tout","Mieux informer les nouveaux arrivants -et les autres- des travaux en cours","j’y ai déjà accès","pas d'avis","bien","bien","bien","pas d'avis","pas terrible","bien","pas d'avis","","","","ce qui me plait le plus : l’ambiance au cafoutch. A changer : prise en compte des idées des personnes « hors arbre »"
"entre 20 et 30 ans","salarié.e à plein temps","une femme","il y a moins de 6 mois","deux fois par mois","pas terrible","pas d'avis","pas d'avis","très bien","pas d'avis","pas d'avis","bien","bien","bien","bien","très bien","bien","très bien","très bien","très bien","Plus de légumes différents","Rien, faire ses courses au supercafoutch permet toujours de passer un super moment","oui","X","X","X","X","X","","","","","X","","","X","","","X","","","X","","","X","","","","","","","une fois par mois","","","","","","","","X","","","","","","","X","","","","","","","","","","","","","X","","","","","","","","","","","","","oui","","","","","","","non","","X","","","","","","","non","non","","","","","","","","","","oui tout à fait","","je ne savais pas que ça existait mais ça m’intéresse","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","bien","","","",""
"entre 20 et 30 ans","auto-entrepreneu.r.se","un homme","il y a moins de 6 mois","une fois par semaine","bien","bien","bien","pas terrible","bien","bien","pas terrible","bien","bien","pas terrible","bien","bien","pas d'avis","pas d'avis","pas d'avis","","Ça viendra avec le supermarché : plus de choix :) ","oui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","une fois par mois","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","oui","","","","","","","non","","","","","X","Pas la disponibilité (emploi du temps chargé) ","","","non","non","","","","","","","","","","pas vraiment","Wiki, parrainage pour ceux qui veulent (genre quand j'arrive on m'attribue un parrain qui peut répondre à mes questions etc..) ","je ne savais pas que ça existait mais ça m’intéresse","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","","Je n'ai pas le temps de m'investir plus (j'ai ma boite et je suis déjà dans d'autres projets) alors merci à vous :) "
"entre 30 et 40 ans","étudiant.e","une femme","entre 6 mois et un an","une fois par semaine","bien","très bien","bien","bien","bien","bien","pas terrible","bien","pas terrible","pas terrible","bien","bien","bien","bien","bien","De la viande ou du poisson, afin de pouvoir faire des courses complètes sans nécessité d'aller compléter dans d'autres commerces","Il y a toujours une odeur désagréable dans la boutique...","oui","","","X","X","","","","","","","","","","","","X","","","X","","","","","","","","","","une fois par mois","","","","","","","","","","","X","","X","","X","","","","","","","X","","","","","X","","","","","","","","","","","","","","oui","","","","","","","non","","X","","","","","","","non","oui","X","X","","","","","","X","marie.legac@gmail.com","oui tout à fait","","je ne savais pas que ça existait mais ça m’intéresse","très bien","pas d'avis","très bien","très bien","très bien","très bien","très bien","très bien","","","",""
"entre 40 et 50 ans","salarié.e à plein temps","un homme","il y a moins de 6 mois","deux fois par mois","pas terrible","bien","pas terrible","pas terrible","très bien","bien","bien","très bien","très bien","bien","bien","pas terrible","bien","bien","bien","Du pesto à l'huile d'olive, pas d'huile de palme dans les produits","Un vrai supermarché","oui","","X","","X","","X","","","","","","","X","","","","","","X","","","","X","X","X","","","","une fois par mois","","","","","","","","","X","","X","","","X","","X","","X","","","","","","","X","","","","","","X","","","","X","X","X","","","","oui","","","","","","","non","","","","X","","","","Précisions sur les recherches de local, gouvernance","oui","oui","","","","","","","","X","manvid@gmail.com","pas vraiment","Faire un livret d'accueil numérique ? Organiser un pot d'accueil des nouveaux arrivants une fois par mois ?","je ne savais pas que ça existait mais ça m’intéresse","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","Déjà beaucoup de bonnes idées, il ne reste plus qu'à trouver le temps d'y participer...","oui","","Des apéros plage l'été entre coopérateurs ?"
"plus de 60 ans","salarié.e à plein temps","une femme","depuis la nuit des temps","une fois par semaine","bien","bien","bien","bien","bien","bien","bien","bien","bien","bien","bien","bien","bien","bien","bien","","","oui","X","","","","","","","X","X","X","","","","","","","","","","","","","","","","","","","une fois par mois","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","oui","","","","","","","oui","","","","","","","","","non","non","","","","","","","","","","un peu","","j’y ai déjà accès","bien","bien","bien","bien","bien","bien","bien","bien","","","",""
"entre 30 et 40 ans","salarié.e à plein temps","une femme","il y a moins de 6 mois","une fois par mois","pas terrible","pas terrible","bien","pas d'avis","pas d'avis","pas d'avis","très bien","très bien","très bien","très bien","très bien","très bien","très bien","très bien","très bien","","Un local plus central (mais c'est en cours !)","oui","","","","","","X","X","","","","","","","","","","","","","","","","X","X","X","X","","","une fois par mois","","","","","","","","","","","X","","","","","","","X","X","","","","","","","","","","","","","","","","X","X","X","X","","","oui","","","","","","","oui","","","","","","","Réunion efficace et chaleureuse : les sujets clés ont été abordés, échanges possibles, votes effices, temps convivial à la fin","","non","non","","","","","","","","","","oui tout à fait","Avoir un parrain coopérateur ","je ne savais pas que ça existait mais ça m’intéresse","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","très bien","","","",""
"entre 40 et 50 ans","salarié.e à plein temps","un homme","entre 6 mois et un an","une fois par mois","bien","très bien","pas terrible","bien","très bien","très bien","bien","très bien","bien","bien","bien","bien","pas terrible","bien","bien","Plus de sortes de bières. Des vêtements (textile bio, recyclés, créateurs locaux) corner cuisine du monde qui change tous les m ","Système de caisse automatique / suggestions recettes / livraisons ","oui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","une fois par mois","","","","","","","","X","","","X","","","","","","","","X","","","","","","","","","","","","","","","","","","","X","X","","oui","","","","","","","oui","","","","","","","La convivialité la qualité de débats la qualité de l'animation ","Les types de produits qu'on trouve au SC, les critères d'achat des produits le choix des fournisseurs ","oui","non","","","","","","","","","","oui tout à fait","Un système de parrainage (chaque nouveau cooperateur est suivi par un ancien) un parcours d'intégration ","j’y ai déjà accès","pas terrible","bien","bien","bien","très bien","très bien","très bien","très bien","Des débats sur les sujets de l'alimentation . Une chasse au trésor au SC pour les enfants une disco soupe tous les mois ","oui","","faire ce genre d'enquêtes plus souvent !!!"
"entre 40 et 50 ans","salarié.e à plein temps","une femme","depuis la nuit des temps","jamais","","","","","","","","","","","","","","","","","","non","","","","","","X","","","","","","","","","","","","","","","","","","","X","","","","moins d'une fois par mois","","","","","","","","","X","","X","","","","","","","X","","","","","","","","","","","","","","","","","","X","","","","","oui","","","","","","","non","","","X","","","","","","non","oui","X","","","","","","","X","emiliebarelier@gmail.com","oui tout à fait","","je ne savais pas que ça existait mais ça m’intéresse","très bien","pas d'avis","pas d'avis","très bien","pas d'avis","pas d'avis","très bien","très bien","Jouer aux boules!?","non","",""
"entre 50 et 60 ans","salarié.e à plein temps","une femme","depuis la nuit des temps","une fois par semaine","pas terrible","pas terrible","bien","bien","très bien","très bien","très bien","très bien","très bien","bien","bien","bien","pas terrible","bien","bien","produits liquides en vrac ( exlessive, huile d'olive...)","horaires d'ouverture à élargir","non","","","X","","X","X","","","","","","","","","X","X","","","","","X","X","X","X","","","","","plus d'une fois par mois","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","X","X","","","","","oui","","","","","","","oui","","","","","","","qualité des interventions et compte rendus partagés du travail de chaque branche","organisation de la branche gouvernance qui y participe vraiment qui t est représenté qui y est invité, ou trouver les comptes re","oui","non","","","","","","","","","","oui tout à fait","réunion d'infos colective avec les nouveaux coopérateurschaque mois ?","j’y ai déjà accès","bien","très bien","très bien","très bien","très bien","pas d'avis","bien","très bien","","","",""
"plus de 60 ans","retraité.e","un homme","depuis la nuit des temps","deux fois par mois","bien","bien","bien","pas terrible","bien","bien","bien","très bien","bien","pas d'avis","pas d'avis","pas d'avis","bien","bien","bien","Volaille, poisson","Plus d’animations du genre faire ses pates, faire ses produirs d’entretien, de beaute, sa mousse a raser, tables rondes zero dec","oui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","une fois par mois","","","","","","","","","X","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","oui","","","","","","","oui","","","","","","","Information sur l’etat des lieux et travail ensemble","La gouvernance de notre coop, la transparence","oui","oui","X","X","X","","X","","","","guido071139@gmail.com","oui tout à fait","","j’y ai déjà accès","pas d'avis","pas d'avis","très bien","très bien","très bien","très bien","très bien","très bien","","","",""
"entre 30 et 40 ans","salarié.e à plein temps","une femme","depuis la nuit des temps","deux fois par mois","bien","bien","bien","pas d'avis","pas d'avis","pas d'avis","bien","bien","bien","pas terrible","pas terrible","pas terrible","pas terrible","bien","bien","Beurre de cacahouète, filtre à café, gros bidon pour produit lave vaisselle, lait, thé 1336, ","Ouverture à partir de 17h30","non","X","X","","","","","","","","X","","","X","","","","","","","","","","","","","","","","moins d'une fois par mois","","","","","","","","X","","","","","X","X","","","","","","","","X","","","X","","","","","","","","","","","","","","","","oui","","","","","","","oui","","","","","","","Le temps de partage","","non","non","","","","","","","","","","oui tout à fait","","j’y ai déjà accès","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","",""
"entre 30 et 40 ans","auto-entrepreneu.r.se","une femme","il y a moins de 6 mois","deux fois par mois","bien","bien","pas terrible","pas terrible","très bien","bien","bien","très bien","bien","bien","bien","pas terrible","bien","très bien","pas terrible","Plus de choix dans les produits secs en vrac.  Plus de fruits et légumes. Du fromage à la coupe. ","Augmenter les horaires d'ouverture.","oui","","","","","","X","","","","","","","","","","","","","","","","","","X","","","","","une fois par mois","","","","","","","","","","","X","","","","","","","X","","","","","","","","","","","","","","","","","","X","","","","","oui","","","","","","","non","","","","","X","Je suis ccopératrice depuis trop peu de temps pour en avoir eu l'occasion mais je vais venir au prochain","","","non","non","","","","","","","","","","un peu","Faire plus de réunions pour les nouveaux membres","je ne savais pas que ça existait mais ça m’intéresse","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","","Génial si le supercafoutch s'installe à Belzunce. C'est important d'être présents dans l'hypercentre ET dans une zone populaire."
"entre 20 et 30 ans","salarié.e à plein temps","un homme","il y a moins de 6 mois","une fois par mois","bien","très bien","pas terrible","bien","très bien","bien","bien","très bien","pas terrible","pas terrible","très bien","pas terrible","pas terrible","bien","pas terrible","","Le tarif de certains produit me rebute à venir acheter plus souvent.","oui","","X","","","","X","","","","","","","X","","","","","","","","","","X","X","","","","","une fois par mois","","","","","","","","","X","","X","","","","X","","","X","","","","","","","","","","X","","","","","","","X","","","","","","oui","","","","","","","non","","","","","X","J'ai du mal a me rendre disponible pour des missions supplémentaires ","","La mise en place/proposer plus d'atelier do it yourself. ","non","non","","","","","","","","","","oui tout à fait","Continuer à proposer des apéros ","j’y ai déjà accès","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","",""
"entre 40 et 50 ans","salarié.e à mi-temps","un homme","entre 6 mois et un an","jamais","","","","","","","","","","","","","","","","","","non","","X","X","X","","","","","","","","X","","","X","","","X","","","","","","","","","","","moins d'une fois par mois","","","","","","","","X","","","","","","X","X","X","","","","","","","","X","X","","X","X","","X","X","","","","","","","","","","oui","","","","","","","non","","","","","X","pas eu le temps.","","","oui","non","","","","","","","","","","oui tout à fait","","je ne savais pas que ça existait mais ça m’intéresse","bien","bien","bien","bien","bien","bien","bien","bien","","","",""
"plus de 60 ans","retraité.e","un homme","entre 6 mois et un an","deux fois par mois","pas terrible","bien","pas terrible","bien","bien","bien","très bien","bien","pas terrible","bien","bien","pas terrible","pas terrible","bien","pas terrible","Plus de choix de légumes, des produits plus abordables.","Un endroit réservé à la convivialité.","non","","X","X","X","X","X","","","","","","X","X","","X","X","","X","X","","X","X","","X","X","","","","moins d'une fois par mois","","","","","","","","","X","","X","","","X","X","X","","","","","","","","X","","X","X","","","X","","","","","","","","","","","oui","","","","","","","oui","","","","","","","Les thèmes abordés, les travaux des différentes commissions, la parole donnée à tout le monde, les décisions ","","oui","oui","","","","","","","","X","","oui tout à fait","le parrainage","j’y ai déjà accès","très bien","pas d'avis","pas d'avis","pas d'avis","très bien","pas d'avis","pas d'avis","très bien","","","","Il faut un local rapidement pour le supermarché"
"plus de 60 ans","retraité.e","un homme","depuis la nuit des temps","deux fois par mois","pas terrible","bien","très bien","bien","très bien","très bien","bien","très bien","bien","pas terrible","très bien","bien","bien","bien","bien","","","oui","","","","X","","","","","","","","","","","","","X","","","","","","","","","","","","une fois par mois","","","","","","","","X","","","","","","","","X","","","","","","","","","","","","","X","","","","","","","","","","","","oui","","","","","","","oui","","","","","","","Ambiance contenu","","non","non","","","","","","","","","","oui tout à fait","","je ne savais pas que ça existait mais ça ne m’intéresse pas","très bien","pas d'avis","pas d'avis","pas d'avis","bien","pas d'avis","pas d'avis","pas d'avis","","","",""
"entre 40 et 50 ans","sans activité principale","une femme","depuis la nuit des temps","deux fois par mois","très bien","très bien","très bien","bien","bien","très bien","bien","très bien","très bien","très bien","très bien","pas terrible","bien","bien","bien","brioche, viande, plus de choix de vrac et de légumes","","oui","X","X","X","X","X","X","","","X","X","","X","X","","X","X","","X","X","","X","X","","X","X","","","","une fois par mois","","","","","","","","","","X","X","","X","X","X","X","X","","","X","","","X","","","X","","","X","","","X","","","","","","","","","oui","","","","","","","oui","","","","","","","l'emergeance des dynamiques du groupe, le lien social","","oui","oui","","","X","X","","","","","sandragreck@free.fr","oui tout à fait","Ce serait bien de connaitre l'ensemble des copérateurs via un organigramme par exemple.","je ne savais pas que ça existait mais ça m’intéresse","très bien","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","très bien","","","",""
"entre 30 et 40 ans","salarié.e à plein temps","une femme","entre 6 mois et un an","une fois tous les deux mois (ou plus)","bien","pas terrible","bien","bien","très bien","bien","très bien","très bien","bien","très bien","très bien","très bien","très bien","très bien","très bien","","","oui","X","","X","","","X","","","X","X","","","","","X","X","","","","","","","X","X","","","","","moins d'une fois par mois","","","","","","","","X","","X","","","X","","","","X","X","","","X","","","","","","","","","","","","","X","X","X","","","","","oui","","","","","","","non","","","","X","","","","","oui","oui","X","X","","","X","","","","","oui tout à fait","","je ne savais pas que ça existait mais ça m’intéresse","très bien","très bien","très bien","très bien","très bien","très bien","très bien","très bien","","","",""
"mois de 20 ans","salarié.e à plein temps","une femme","il y a moins de 6 mois","une fois tous les deux mois (ou plus)","bien","pas d'avis","pas terrible","très bien","très bien","bien","très bien","bien","bien","pas d'avis","pas d'avis","pas d'avis","bien","pas d'avis","pas d'avis","Des produits pour les animaux (litière, croquettes etc)","","oui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","moins d'une fois par mois","","","","","","","","X","","","X","","X","","","","","X","","X","","","","","","","","","","","","","","","X","","","","","","oui","","","","","","","oui","","","","","","","","","non","non","","","","","","","","","","un peu","","je ne savais pas que ça existait mais ça m’intéresse","très bien","très bien","très bien","très bien","pas d'avis","bien","très bien","pas d'avis","","","","Je n'ai pas assez de places pour écrire ..."
"entre 30 et 40 ans","salarié.e à plein temps","un homme","entre 6 mois et un an","une fois par semaine","bien","bien","bien","bien","très bien","très bien","très bien","très bien","bien","pas terrible","bien","bien","pas d'avis","pas d'avis","pas d'avis","","","non","","","","","","X","X","","","","","","","","","","","","","","","","X","X","X","","X","X","moins d'une fois par mois","","","","","","","","X","X","","X","","","","X","X","","","","","","","","","","","","X","","","X","","","","","","","","","","non","","","","","X","Insécurité ","oui","","","","","","","","","oui","non","","","","","","","","","","oui tout à fait","","ça ne m’intéresse pas","bien","bien","bien","bien","bien","bien","bien","bien","","","",""
"entre 40 et 50 ans","sans activité principale","une femme","entre 6 mois et un an","une fois par mois","pas d'avis","pas d'avis","pas d'avis","pas terrible","bien","bien","très bien","très bien","très bien","très bien","très bien","bien","bien","très bien","très bien","Produits d'entretien et de soin corporel en vrac","Plus ouvert le midi et plus de vrac","oui","X","X","X","X","X","","","","X","","","X","","","X","","","X","","","X","","","","","","","","moins d'une fois par mois","","","","","","","","X","X","","","","X","X","X","X","X","","","","X","","","X","","","X","","","X","","","X","","","","","","","","oui","","","","","","","non","","X","","","","","","qu'on soit plus au courant des dates / heures","non","oui","","","","","X","","","","arrisabelle@hotmail.com","un peu","des séances de formation aux différents type de créneaux","je ne savais pas que ça existait mais ça m’intéresse","bien","pas terrible","pas d'avis","bien","très bien","bien","bien","bien","","","",""
"entre 50 et 60 ans","salarié.e à plein temps","une femme","il y a moins de 6 mois","deux fois par mois","pas terrible","pas terrible","bien","bien","bien","très bien","bien","très bien","très bien","bien","très bien","très bien","bien","très bien","bien","yaourts au lait de coco, plus de fruits et legumes, de fruits secs, de pains","ambiance musicale ","oui","X","","","","","","","X","","X","","","","","","","","","","","","","","","","","","","une fois par mois","","","","","","","","X","X","","","","X","","","","","","","","","X","","","","","","","","","","","","","","","","","","","oui","","","","","","","non","","X","","","","","","","non","non","","","","","","","","","","oui tout à fait","","je ne savais pas que ça existait mais ça m’intéresse","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","très bien","","","","ce serait plus sympa si les membres actifs venaient se presenter aux membres assurant leur shift lorsqu'ils sont dans la boutiqu"
"mois de 20 ans","salarié.e à plein temps","une femme","depuis la nuit des temps","une fois par mois","bien","bien","bien","bien","bien","bien","bien","bien","pas terrible","bien","bien","pas terrible","bien","bien","pas terrible","plus de choix dans le sans gluten + des glaçes","La circulation dans les rayons","oui","X","X","","","","","","","","X","","","X","","","","","","","","","","","","","","","","moins d'une fois par mois","","","","","","","","","","","","","","X","","","","","","","","","","","X","","","","","","","","","","","","","","","","oui","","","","","","","oui","","","","","","","Partager les questions importantes et les petits groupes de discussions pour aller plus loin","C'est déjà très bien géré","non","non","","","","","","","","","","un peu","Malette du nouveau membre avec tous les liens, l'historique, les contacts et une carte de membre par courrier","je ne savais pas que ça existait mais ça m’intéresse","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","très bien","pas d'avis","très bien","","","","Toujours plus loin !"
"entre 20 et 30 ans","salarié.e à plein temps","une femme","entre 6 mois et un an","une fois tous les deux mois (ou plus)","pas d'avis","pas d'avis","pas d'avis","bien","très bien","bien","très bien","très bien","bien","pas d'avis","pas d'avis","pas d'avis","très bien","très bien","bien","","Avoir une fenêtre d'ouverture hors shift pour faire les courses le matin hors samedi","oui","","","","","X","","","","","","","","","","","","","","","X","X","","","","","","","","moins d'une fois par mois","","","","","","","","","","X","","","","","","","X","","","","","","","","","","","","","","","X","","","","","","","","","oui","","","","","","","non","","X","","","","","","","non","non","","","","","","","","","","oui tout à fait","Parrainage ? Permet d'être suivi pour s'habituer sans lâcher, puis encore le suivi quand tu es parrain. ","je ne savais pas que ça existait mais ça m’intéresse","très bien","pas d'avis","très bien","très bien","pas d'avis","pas d'avis","très bien","bien","","","","Je suis désolée de ne pas être plus dispo, mais j'adhère ttlmt au projet. Ne changer pas le fil: Ethique, local et bon!"
"entre 50 et 60 ans","salarié.e à mi-temps","une femme","depuis la nuit des temps","jamais","","","","","","","","","","","","","","","","","","non","","","","","","","","","","","","","","","","","","","","","","","","","","","","","moins d'une fois par mois","","","","","","","","X","X","X","","","X","","","","","","","","X","","","","","","","","","","","","","","","","","","","","oui","","","","","","","oui","","","","","","","","","non","oui","","X","","","X","","","","isabelleyver@gmail.com","pas du tout","","je ne savais pas que ça existait mais ça ne m’intéresse pas","pas terrible","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","Non, pourquoi faire des animations ? ","non","","Arrêter de vendre trop cher des légumes qui finissent à la poubelle"
"entre 30 et 40 ans","salarié.e à plein temps","un homme","depuis la nuit des temps","une fois tous les deux mois (ou plus)","très bien","très bien","très bien","bien","bien","bien","pas terrible","très bien","très bien","pas terrible","très bien","très bien","bien","très bien","très bien","Charcuterie","","non","","","","","","X","","","","","","","","","","","","","","","","","","","X","","","","plus d'une fois par mois","","","","","","","","","X","","","","","","","","","X","","","","","","","","","","","","","","","","","X","X","X","","","","oui","","","","","","","non","","X","","","","","","","non","non","","","","","","","","","","oui tout à fait","","j’y ai déjà accès","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","",""
"entre 50 et 60 ans","salarié.e à plein temps","une femme","entre 6 mois et un an","une fois par mois","pas terrible","très bien","bien","bien","très bien","bien","bien","très bien","très bien","pas terrible","très bien","bien","pas terrible","bien","bien","","Accepter les tickets restaurant","non","","","","","X","X","","","","","","","","","","","","","","X","","X","X","X","","","","","une fois par mois","","","","","","","","","","","","","","","","","X","X","","","","","","","","","","","","","","","","X","X","X","","","","","oui","","","","","","","oui","","","","","","","Les possibilités d'échanges, la convivialité","","non","oui","X","X","","","","","","","isabellemars664@yahoo.com","oui tout à fait","","j’y ai déjà accès","bien","pas d'avis","pas d'avis","bien","bien","pas d'avis","pas d'avis","bien","","","",""
"entre 50 et 60 ans","salarié.e à plein temps","un homme","depuis la nuit des temps","une fois par semaine","bien","bien","pas terrible","bien","bien","bien","très bien","très bien","pas terrible","très bien","très bien","pas terrible","très bien","très bien","très bien","du cacao, du beurre de cacahouette...","","oui","X","","","X","","","","","","X","","","","","","","","","X","","","","","","","","","","plus d'une fois par mois","","","","","","","","","X","","","","","","","X","","","","","","","","","","","","","","","X","","","","","","","","","","oui","","","","","","","oui","","","","","","","La liberté d'expression ; La simplicité des interventions...","","oui","non","","","","","","","","","","oui tout à fait","","j’y ai déjà accès","très bien","pas d'avis","très bien","très bien","très bien","très bien","très bien","très bien","","","",""
"entre 20 et 30 ans","étudiant.e","un homme","depuis la nuit des temps","deux fois par mois","pas terrible","pas terrible","pas terrible","très bien","très bien","très bien","très bien","très bien","très bien","pas d'avis","pas d'avis","pas d'avis","bien","bien","bien","Une plus grande variété de légumes, de charcuteries, de viande","","non","","","","","","X","","","","","","","","","","","","","","","","","","X","X","","","","moins d'une fois par mois","","","","","","","","X","X","","X","","X","X","X","X","X","","","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","","","","","","","oui","","","","","","","oui","","","","","","","","","oui","non","","","","","","","","","","pas vraiment","Un mail clair et un kit de bienvenue. Une réunion ou avoir un parrain par exemple","j’y ai déjà accès","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","très bien","","","",""
